Player ID,Year,Name,College,5 star recruit,POS,Height (in),Weight (lbs),BMI,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Weight adjusted Bench,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Speed Score,Vertical Jump Power,Broad Jump Power,Drafted,Rnd,Pick,G,Cmp,Pass_Att,Pct,Pass_Yds,Y/A,AY/A,Pass_TD,Pass_Int,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TDs,Rec,Rec_Yds,Rec_Avg,Rec_Tds,Pro Bowl,Players AV,Games Played,AV Per Game
2015Keyarris Garrett,2015,Keyarris Garrett,Tulsa (OK),0,WR,75,206,25.75,9,34.5,,4.64,14,15.29126214,36.5,128,4.33,7.3,11.72,88.88434857,4978.214941,9322.495803,0,#N/A,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3131,14.66666667,22,0,0,0,0
2015Antwan Goodley,2015,Antwan Goodley,Baylor,0,WR,70.25,209,29.77,9.25,30.75,,4.44,,0,,,,,,107.5584169,0,0,0,#N/A,0,23,0,0,0,0,0,0,0,0,0,14,104,7.2,0,131,2169,16.35,19,0,0,0,0
2015Melvin Gordon,2015,Melvin Gordon,Wisconsin,0,RB,72.63,215,28.65,9.75,32.38,20,4.52,19,19.88372093,35,126,4.07,7.04,11,103.01838,5087.828613,9653.476058,1,1,15,27,0,0,0,0,0,0,0,0,0,27,549,4196,7.65,41,20,163,9.05,1,48,82,0.585365854
2015Corey Grant,2015,Corey Grant,Auburn,0,RB,69,201,29.68,,,,4.28,,0,,,,,,119.7983888,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,4,38,0.105263158
2015Garrett Grayson,2015,Garrett Grayson,Colorado State,0,QB,74.5,213,26.98,10,30,20,4.84,,0,,,,,,77.62974374,0,0,1,3,75,27,567,898,63.2,7702,8.6,9,55,18,152.3,126,73,0.45,2,0,0,0,0,0,0,0,0
2015Christian Green,2015,Christian Green,Florida State,0,WR,73,196,25.86,,,,4.54,,0,,,,,,92.2704536,0,0,0,#N/A,0,13,0,0,0,0,0,0,0,0,0,2,11,5.5,0,26,450,17.3,0,0,0,0,0
2015Dorial Green-Beckham,2015,Dorial Green-Beckham,Missouri,0,WR,77.13,237,28.01,9,32.5,20,4.49,13,12.34177215,33.5,119,4.45,6.89,11.89,116.6253547,5486.946692,10341.45908,1,2,40,25,0,0,0,0,0,0,0,0,0,6,19,3.1,0,87,1278,14.55,17,0,7,31,0.225806452
2015Deontay Greenberry,2015,Deontay Greenberry,Houston,0,WR,75,198,24.75,,,,4.64,,0,,,,,,85.4325292,0,0,0,#N/A,0,37,0,0,0,0,0,0,0,0,0,2,6,3,0,201,2612,12.83333333,20,0,0,0,0
2015Rashad Greene,2015,Rashad Greene,Florida State,0,WR,71.38,182,25.11,9,31.63,24,4.53,,0,36.5,122,4.12,6.88,,86.43876945,4398.228734,8041.022821,1,5,139,51,0,0,0,0,0,0,0,0,0,9,81,7.3,1,270,3830,14.325,29,0,2,25,0.08
2015Prince-Tyson Gulley,2015,Prince-Tyson Gulley,Syracuse,0,RB,68,194,29.49,,,,4.63,,0,,,,,,84.43213311,0,0,0,#N/A,0,36,0,0,0,0,0,0,0,0,0,36,368,1899,5.233333333,14,69,448,5.833333333,0,0,0,0
